year,month,state,EHE
2021,8,AK,309.9
2021,9,AK,311.4
2021,10,AK,314.0
2021,11,AK,316.5
2021,12,AK,317.0
2022,1,AK,317.0
2022,2,AK,316.8
2022,3,AK,318.0
2022,4,AK,317.8
2022,5,AK,318.4
2022,6,AK,317.0
2022,7,AK,320.0
2022,8,AK,319.8
2022,9,AK,319.6
2022,10,AK,319.5
2022,11,AK,321.9
2022,12,AK,321.9
2023,1,AK,324.7
2023,2,AK,324.9
2023,3,AK,325.3
2023,4,AK,326.0
2023,5,AK,325.6
2023,6,AK,329.1
2023,7,AK,328.4
2023,8,AK,329.6
2023,9,AK,331.3
2023,10,AK,329.2
2023,11,AK,329.8
2023,12,AK,330.4
2024,1,AK,330.7
2024,2,AK,331.9
2024,3,AK,333.5
2024,4,AK,333.4
2024,5,AK,333.7
2024,6,AK,333.2
2024,7,AK,334.8
2024,8,AK,334.1
2024,9,AK,335.1
2024,10,AK,338.5
2024,11,AK,338.9
2024,12,AK,339.3
2025,1,AK,339.9
2025,2,AK,337.6
2025,3,AK,338.4
2025,4,AK,336.8
2025,5,AK,337.3
2025,6,AK,338.3
2025,7,AK,338.2
2025,8,AK,339.6
2025,9,AK,338.8
2025,10,AK,338.7
2025,11,AK,338.1
2025,12,AK,337.9
1990,1,AZ,1473.4
1990,2,AZ,1475.8
1990,3,AZ,1478.5
1990,4,AZ,1484.8
1990,5,AZ,1488.6
1990,6,AZ,1483.1
1990,7,AZ,1483.6
1990,8,AZ,1482.3
1990,9,AZ,1485.4
1990,10,AZ,1486.5
1990,11,AZ,1489.5
1990,12,AZ,1485.1
1991,1,AZ,1495.9
1991,2,AZ,1492.7
1991,3,AZ,1491.9
1991,4,AZ,1487.4
1991,5,AZ,1485.6
1991,6,AZ,1488.6
1991,7,AZ,1483.8
1991,8,AZ,1486.2
1991,9,AZ,1488.5
1991,10,AZ,1496.5
1991,11,AZ,1498.8
1991,12,AZ,1501.5
1992,1,AZ,1501.3
1992,2,AZ,1501.0
1992,3,AZ,1500.4
1992,4,AZ,1506.0
1992,5,AZ,1513.0
1992,6,AZ,1515.3
1992,7,AZ,1520.7
1992,8,AZ,1525.2
1992,9,AZ,1535.3
1992,10,AZ,1526.8
1992,11,AZ,1527.4
1992,12,AZ,1532.5
1993,1,AZ,1534.9
1993,2,AZ,1545.3
1993,3,AZ,1552.0
1993,4,AZ,1566.8
1993,5,AZ,1575.7
1993,6,AZ,1582.0
1993,7,AZ,1587.5
1993,8,AZ,1591.4
1993,9,AZ,1603.1
1993,10,AZ,1617.8
1993,11,AZ,1622.6
1993,12,AZ,1634.0
1994,1,AZ,1640.7
1994,2,AZ,1647.4
1994,3,AZ,1655.6
1994,4,AZ,1668.1
1994,5,AZ,1674.9
1994,6,AZ,1687.1
1994,7,AZ,1698.0
1994,8,AZ,1711.9
1994,9,AZ,1715.7
1994,10,AZ,1723.1
1994,11,AZ,1737.1
1994,12,AZ,1744.7
1995,1,AZ,1752.0
1995,2,AZ,1761.6
