year,month,PPI
1976,4,60.6
1976,5,60.8
1976,6,61.2
1976,7,61.6
1976,8,61.4
1976,9,61.8
1976,10,61.9
1976,11,62.0
1976,12,62.5
1976,13,61.1
1977,1,62.8
1977,2,63.5
1977,3,64.1
1977,4,64.9
1977,5,65.2
1977,6,65.0
1977,7,65.1
1977,8,65.0
1977,9,65.3
1977,10,65.6
1977,11,65.8
1977,12,66.2
1977,13,64.9
1978,1,66.8
1978,2,67.5
1978,3,68.1
1978,4,69.0
1978,5,69.5
1978,6,70.0
1978,7,70.4
1978,8,70.4
1978,9,71.0
1978,10,71.8
1978,11,72.1
1978,12,72.7
1978,13,69.9
1979,1,73.8
1979,2,74.9
1979,3,75.8
1979,4,76.9
1979,5,77.5
1979,6,78.0
1979,7,79.2
1979,8,79.6
1979,9,80.9
1979,10,82.1
1979,11,82.6
1979,12,83.4
1979,13,78.7
1980,1,85.2
1980,2,86.9
1980,3,87.5
1980,4,87.8
1980,5,88.3
1980,6,88.7
1980,7,90.3
1980,8,91.5
1980,9,91.7
1980,10,92.8
1980,11,93.2
1980,12,93.8
1980,13,89.8
1981,1,95.2
1981,2,96.1
1981,3,97.0
1981,4,98.0
1981,5,98.3
1981,6,98.5
1981,7,99.0
1981,8,99.0
1981,9,98.8
1981,10,98.9
1981,11,98.8
1981,12,98.8
1981,13,98.0
1982,1,99.7
1982,2,99.8
1982,3,99.6
1982,4,99.6
1982,5,99.8
1982,6,100.0
1982,7,100.4
1982,8,100.3
1982,9,100.0
1982,10,100.2
1982,11,100.3
1982,12,100.5
1982,13,100.0
1983,1,100.2
1983,2,100.5
1983,3,100.4
1983,4,100.4
1983,5,100.8
1983,6,101.0
1983,7,101.3
1983,8,101.8
1983,9,102.0
1983,10,102.2
1983,11,102.1
1983,12,102.3
1983,13,101.3
1984,1,102.9
1984,2,103.2
1984,3,103.9
1984,4,104.0
1984,5,104.1
1984,6,104.0
1984,7,104.2
1984,8,103.8
1984,9,103.4
1984,10,103.4
1984,11,103.7
1984,12,103.5
1984,13,103.7
1985,1,103.4
1985,2,103.3
1985,3,103.1
1985,4,103.3
1985,5,103.5
1985,6,103.3
1985,7,103.2
1985,8,102.7
1985,9,102.1
1985,10,102.9
1985,11,103.4
1985,12,103.6
1985,13,103.2
1986,1,103.2
1986,2,101.7
1986,3,100.3
1986,4,99.6
1986,5,100.0
1986,6,99.9
1986,7,99.4
1986,8,99.3
1986,9,99.4
1986,10,99.7
1986,11,99.8
1986,12,99.7
1986,13,100.2
1987,1,100.5
1987,2,101.0
1987,3,101.2
1987,4,101.9
1987,5,102.6
1987,6,103.0
1987,7,103.5
1987,8,103.8
1987,9,103.7
1987,10,104.1
1987,11,104.2
1987,12,104.2
1987,13,102.8
1988,1,104.6
1988,2,104.8
1988,3,104.9
1988,4,105.8
1988,5,106.5
1988,6,107.2
1988,7,107.9
1988,8,108.0
1988,9,108.1
1988,10,108.2
1988,11,108.3
1988,12,109.0
1988,13,106.9
1989,1,110.5
1989,2,110.8
1989,3,111.5
1989,4,112.3
1989,5,113.2
1989,6,112.9
1989,7,112.8
1989,8,112.0
1989,9,112.4
1989,10,112.8
1989,11,112.7
1989,12,113.0
1989,13,112.2
1990,1,114.9
1990,2,114.4
1990,3,114.2
1990,4,114.1
1990,5,114.6
1990,6,114.3
1990,7,114.5
1990,8,116.5
1990,9,118.4
1990,10,120.8
1990,11,120.1
1990,12,118.7
1990,13,116.3
1991,1,119.0
1991,2,117.2
1991,3,116.2
1991,4,116.0
1991,5,116.5
1991,6,116.4
1991,7,116.1
1991,8,116.2
1991,9,116.1
1991,10,116.4
1991,11,116.4
1991,12,115.9
1991,13,116.5
1992,1,115.6
1992,2,116.0
1992,3,116.1
1992,4,116.3
1992,5,117.2
1992,6,118.0
1992,7,117.9
1992,8,117.7
1992,9,118.0
1992,10,118.1
1992,11,117.8
1992,12,117.6
1992,13,117.2
1993,1,118.0
1993,2,118.4
1993,3,118.7
1993,4,119.3
1993,5,119.7
1993,6,119.5
1993,7,119.2
1993,8,118.7
1993,9,118.7
1993,10,119.1
1993,11,119.0
1993,12,118.6
1993,13,118.9
1994,1,119.1
1994,2,119.3
1994,3,119.7
1994,4,119.7
1994,5,119.9
1994,6,120.5
1994,7,120.7
1994,8,121.2
1994,9,121.0
1994,10,120.9
1994,11,121.5
1994,12,121.9
1994,13,120.4
1995,1,122.9
1995,2,123.5
1995,3,123.9
1995,4,124.6
1995,5,124.9
1995,6,125.3
1995,7,125.3
1995,8,125.1
1995,9,125.2
1995,10,125.3
1995,11,125.4
1995,12,125.7
1995,13,124.7
1996,1,126.3
1996,2,126.2
1996,3,126.4
1996,4,127.4
1996,5,128.1
1996,6,128.0
1996,7,128.0
1996,8,128.3
1996,9,128.2
1996,10,128.0
1996,11,128.2
1996,12,129.1
1996,13,127.7
1997,1,129.7
1997,2,128.5
1997,3,127.3
1997,4,127.0
1997,5,127.4
1997,6,127.2
1997,7,126.9
1997,8,127.2
1997,9,127.5
1997,10,127.8
1997,11,127.9
1997,12,126.8
1997,13,127.6
1998,1,125.4
1998,2,125.0
1998,3,124.7
1998,4,124.9
1998,5,125.1
1998,6,124.8
1998,7,124.9
1998,8,124.2
1998,9,123.8
